id,transaction_date,description,amount,reference_number
txn-0001,2024-01-10,ACME CORP PAYMENT,1500.00,REF001
txn-0002,2024-01-18,TECHSTART INC WIRE,2750.50,REF002
txn-0003,2024-01-12,GLOBAL LOGISTICS DEPOSIT,890.25,REF003
txn-0004,2024-01-22,SMITH J ASSOCIATES CHK,3200.00,REF004
txn-0005,2024-01-28,DIGITAL DREAMS ACH PMT,1875.75,REF005
txn-0006,2024-01-30,MV HOTELS DEPOSIT,4500.00,REF006
txn-0007,2024-01-28,RIVERSIDE MFG WIRE,6780.00,REF007
txn-0008,2024-01-08,CLOUDNINE SOLUTIONS PMT,2100.00,REF008
txn-0009,2024-01-16,FRESH FOODS MKT CHECK,945.50,REF009
txn-0010,2024-02-05,URBAN DESIGN STUDIO DEP,3350.25,REF010
txn-0011,2024-01-20,PACIFIC TRADING WIRE,5200.00,REF011
txn-0012,2024-02-01,WELLNESS CTR PLUS ACH,1650.00,REF012
txn-0013,2024-01-10,PREMIER CONSULT DEP,8900.00,REF013
txn-0014,2024-01-25,BRIGHT IDEAS MKTG PMT,2400.75,REF014
txn-0015,2024-02-15,SUMMIT CONSTRUCTION WIR,12500.00,REF015
txn-0016,2024-01-11,HARMONY MUSIC SCHOOL,780.00,REF016
txn-0017,2024-02-20,ELITE AUTO SVCS CHECK,1950.50,REF017
txn-0018,2024-02-05,GARDEN STATE LANDSCPNG,3100.00,REF018
txn-0019,2024-01-13,METRO DENTAL CLINIC,675.25,REF019
txn-0020,2024-01-08,SUNRISE BAKERY DEPOSIT,420.00,REF020
txn-0021,2024-01-24,TECHFLOW SYSTEMS ACH,7500.00,REF021
txn-0022,2024-02-08,COASTAL PROPERTIES PMT,4200.00,REF022
txn-0023,2024-02-12,INNOVATION LABS WIRE,9800.50,REF023
txn-0024,2024-01-18,GREEN ENERGY SOLS DEP,5600.00,REF024
txn-0025,2024-01-12,CITY FITNESS CENTER,1200.00,REF025
txn-0026,2024-02-18,QUANTUM ANALYTICS PMT,6250.75,REF026
txn-0027,2024-01-15,HERITAGE FURNITURE CHK,2800.00,REF027
txn-0028,2024-02-25,APEX LEGAL SVCS WIRE,4750.00,REF028
txn-0029,2024-01-10,CRYSTAL CLEAR CLEANING,550.50,REF029
txn-0030,2024-02-10,NORDIC DESIGN CO ACH,3900.25,REF030
